,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1,0.90581053,0.8253403,0.92703295,0.024042793,0.72222966,0.1029104,0.31739017,0.68527925,0.7232932,0.75016814,0.096422024,0.13782029,0.9950486,0.47234946,4.0369934e-05,0.32993174,0.29764277,0.53462803,0.9741587,0.8480028,0.8133759,0.37421235,0.5649971,0.1838608,0.45448175,0.24804415,0.020765767,0.660684,0.79198194,0.96613556,0.97174174,0.03024709,0.7270903,0.75911295,0.86951566,0.03908805,0.12523003,0.29270244,3.2848795e-05,0.96686244,0.022830943,0.803398,0.054532636,0.6227438,7.665542e-06,0.31502727,0.11874634,0.98921555,0.83321625,0.64848757
2,0.78711456,0.7739307,0.91176635,0.4644713,0.7276656,0.6207523,0.69046164,0.8727041,0.9191072,0.7398717,0.58084,0.5253661,0.85716814,0.7759143,0.3781855,0.7076442,0.6506106,0.77066827,0.8176277,0.7223171,0.72583383,0.709387,0.86615777,0.77791816,0.6953022,0.43136927,0.5253725,0.7856443,0.8305969,0.8941547,0.923776,0.8630894,0.63615185,0.7684955,0.7551665,0.5886575,0.9369541,0.77206856,0.41123763,0.8050177,0.51792437,0.80764085,0.5502012,0.600825,0.4214063,0.7500399,0.75346893,0.84577024,0.8400565,0.85779655
3,0.87559044,0.82664764,0.902069,0.70737636,0.78500646,0.7596874,0.7733816,0.918534,0.83658963,0.7360276,0.716183,0.6254683,0.8420744,0.75447416,0.54682326,0.73043317,0.8083373,0.88352644,0.85826665,0.81223255,0.8351398,0.85514444,0.9048742,0.8971105,0.8369661,0.5095952,0.6738044,0.8230046,0.8110466,0.852037,0.87458926,0.809989,0.75657874,0.907406,0.8057679,0.8048308,0.8135381,0.89514446,0.56516016,0.84246725,0.6591538,0.8473463,0.7030983,0.7750594,0.5581727,0.8783456,0.8924336,0.83323014,0.78453064,0.807027
4,0.72429186,0.8427756,0.84597903,0.45241255,0.705542,0.4762357,0.65999293,0.8357303,0.96452934,0.7715467,0.5809169,0.6023241,0.8573522,0.7866812,0.07188788,0.69397676,0.6092812,0.72976404,0.8757594,0.65048665,0.86096966,0.6690396,0.79820436,0.7343518,0.60009426,0.60712767,0.6189875,0.79096377,0.870329,0.9275169,0.9615598,0.7581253,0.5506197,0.70821726,0.7814292,0.5809563,0.9357237,0.7512299,0.050357763,0.7584321,0.49556276,0.7580312,0.6117645,0.49517387,0.0432202,0.691233,0.7472269,0.83589643,0.8543891,0.90882576
5,0.83346486,0.8408339,0.8173436,0.78461754,0.83701825,0.8260665,0.81637293,0.9275141,0.84486806,0.7335086,0.80214924,0.70981956,0.76648116,0.7898266,0.7399122,0.81304103,0.84503275,0.9005503,0.8145928,0.84582865,0.8447481,0.86783093,0.9095997,0.9288409,0.8599746,0.65514964,0.7693228,0.85260165,0.76707023,0.7957984,0.83597046,0.8301112,0.80828226,0.89791757,0.81133497,0.7936442,0.82995784,0.9216938,0.72256535,0.8343485,0.759778,0.79568833,0.8078497,0.80505866,0.7523777,0.914075,0.92731977,0.7687438,0.7813342,0.82520473
6,0.7715084,0.7071567,0.753351,0.5244103,0.7099894,0.42643625,0.65314937,0.9005875,0.8829789,0.7600107,0.6124007,0.57774997,0.8374758,0.7156201,0.076963924,0.71330786,0.59259695,0.7902068,0.90333176,0.77734894,0.7376511,0.639204,0.84627604,0.8430675,0.5952484,0.6602826,0.6236648,0.7962761,0.8293549,0.9036634,0.88080156,0.7197241,0.6902908,0.8307077,0.80526674,0.53100085,0.7514633,0.8659531,0.079665564,0.84155065,0.47589743,0.7900608,0.6156223,0.6698644,0.059937123,0.7592613,0.82466614,0.8626641,0.7313706,0.7543198
7,0.10567954,0.981339,0.9605041,0.054286096,0.11982188,0.02507766,0.09171534,0.8898153,0.9904655,0.94324374,0.055598326,0.065900005,0.95554453,0.13819124,0.0021025673,0.27925217,0.04318825,0.21043304,0.92888767,0.13640465,0.9827533,0.07573172,0.8056949,0.5613492,0.09370728,0.070410825,0.061791483,0.15838085,0.96795684,0.98795056,0.99610716,0.5522547,0.03778779,0.14064978,0.08919435,0.041004878,0.98416233,0.14725502,0.0019732502,0.29768926,0.05126176,0.9135973,0.06938146,0.042889733,0.0011296129,0.16892911,0.28889397,0.6783701,0.9576736,0.97116077
8,0.83646226,0.8445024,0.819056,0.8013047,0.8465977,0.8139852,0.8297429,0.93383634,0.8210284,0.7356061,0.80887747,0.70635474,0.74318945,0.77758133,0.76721054,0.80663705,0.839511,0.89901036,0.7972492,0.84324914,0.8452533,0.8711934,0.92016894,0.93116885,0.8554834,0.6653871,0.7804432,0.8244663,0.7566076,0.78364307,0.81695527,0.84381807,0.8128483,0.90079206,0.8005452,0.8026098,0.8224383,0.92656386,0.7632828,0.84196174,0.7687206,0.78823715,0.80502826,0.8169445,0.7879051,0.9145747,0.9284981,0.7696931,0.75220865,0.8090484
9,0.8363284,0.8456974,0.8228501,0.8018252,0.84774226,0.824133,0.82699025,0.9335118,0.8253453,0.72736806,0.80578035,0.71172446,0.74938846,0.7838768,0.7752093,0.81374615,0.83920294,0.9033598,0.8045282,0.8481592,0.84753925,0.8712588,0.919381,0.9315466,0.86098623,0.6641055,0.784126,0.8348491,0.74853575,0.77609086,0.8136317,0.8450949,0.82179636,0.9052352,0.8077498,0.80338854,0.82590437,0.927987,0.77175814,0.83930326,0.7717252,0.7841957,0.8099686,0.82547814,0.79527634,0.91899395,0.9298749,0.7634943,0.7618745,0.80380833
10,0.8205845,0.821011,0.8437741,0.73369217,0.815652,0.792951,0.79019773,0.92725676,0.82102215,0.7460966,0.7837505,0.6932132,0.7946846,0.79832596,0.655354,0.80222213,0.82045764,0.8911339,0.8353301,0.8375254,0.82392025,0.83942145,0.909512,0.9146359,0.8389345,0.6362845,0.7470358,0.8464728,0.8224865,0.8372772,0.8545432,0.8110864,0.78274983,0.896602,0.80493444,0.77956295,0.81488067,0.9084122,0.6531514,0.8279122,0.71806324,0.83560956,0.76859266,0.77860945,0.6465859,0.8847305,0.9045523,0.7916899,0.78731143,0.8253298
