Cluster	Id
0	6
-1	5
0	10
0	4
-1	32
-1	7
-1	35
0	114
0	77
1	173
2	258
1	268
0	219
0	198
-1	1
0	664
0	937
0	384
0	521
0	280
-1	687
-1	1386
0	537
0	1317
0	1566
0	149
0	2034
0	2455
0	1383
0	425
-1	1810
-1	2028
0	1363
-1	1018
0	1832
2	1624
0	550
0	1331
-1	2642
0	856
0	2188
0	2187
0	1752
0	3810
-1	3129
0	2244
0	135
-1	13
-1	2067
0	1318
0	4385
0	2524
-1	3988
-1	1352
0	96
0	2
0	21
0	20
0	61
0	54
0	132
0	3
0	142
0	146
0	110
0	166
0	156
0	39
0	60
0	62
1	455
1	401
0	632
0	658
0	516
0	651
0	167
3	758
0	744
-1	634
-1	732
-1	523
0	779
0	654
-1	832
-1	202
0	204
0	223
0	245
0	178
0	23
0	3397
0	41
0	4590
0	115
0	5606
0	3722
4	5929
0	15
-1	34
0	17
4	31
-1	8
4	47
-1	56
3	71
3	74
0	78
-1	68
0	81
0	101
1	119
0	100
-1	76
0	111
4	138
3	145
4	165
0	75
0	19
1	225
0	29
-1	227
0	104
0	33
0	64
3	247
2	234
0	251
5	260
-1	261
0	109
0	177
4	271
0	274
0	141
0	296
0	180
3	311
0	312
0	308
0	304
-1	139
0	324
-1	356
0	51
0	399
4	438
3	442
0	144
-1	320
0	464
2	431
-1	486
0	416
3	505
-1	421
0	80
3	511
0	494
-1	534
0	563
2	567
6	569
0	215
0	579
0	484
0	266
0	630
2	677
2	695
2	672
4	773
0	647
0	396
0	353
3	9
0	545
2	626
2	1134
5	197
0	270
0	539
0	635
0	522
0	882
0	861
-1	1369
1	1010
0	309
2	1389
0	1162
0	1376
-1	1447
0	540
0	112
0	1541
0	1557
0	134
0	350
0	1353
0	592
0	1689
0	1690
0	57
0	1555
0	36
0	1727
0	1487
0	120
3	1749
0	1771
0	1693
0	1677
0	1245
0	1281
0	1753
0	1802
0	823
0	1714
0	1316
0	1860
0	1053
0	1201
0	1366
-1	1944
0	1984
0	1656
0	1921
0	1701
-1	1899
0	2046
0	446
-1	905
0	2123
0	2124
0	2142
0	2173
0	1967
0	2096
0	2322
0	729
-1	2341
0	1585
0	171
0	143
0	492
0	2410
-1	2471
0	241
-1	2711
0	2214
0	2484
0	2176
0	2731
6	2761
0	125
0	1815
-1	1217
1	3417
0	330
0	1620
0	3366
0	3719
0	3830
0	2303
0	1508
0	192
-1	2045
-1	2125
0	1565
0	4458
0	3527
0	159
-1	1953
-1	2388
