Cluster	Id
-1	2731944
2	1082034
2	1715425
2	661780
2	3834550
-1	497880
0	3323540
0	197305
1	2653702
0	3932858
1	4776762
2	2097854
0	2364225
-1	4147080
2	596748
0	4000738
2	5254652
0	1696691
2	3563168
0	4712757
0	4634990
2	2618320
-1	1802951
-1	1874590
0	4391629
3	301190
1	2294484
2	2245123
3	4433359
1	817157
3	2982613
2	1364518
0	2832981
2	3728363
0	59854
2	2065109
2	2341528
1	724118
4	1049305
1	358179
2	2975407
0	676499
0	3973106
0	2954110
1	4588251
0	2464269
-1	2268504
0	1770210
1	197399
0	1409764
-1	5008036
0	1573606
-1	3825320
2	1442537
-1	2999367
0	4904547
2	3506923
1	875324
0	510499
0	4817645
2	3231773
-1	3212014
0	4473271
2	4593241
1	1408827
2	5406147
2	878877
2	4176119
0	5079792
-1	2358652
0	1540852
2	965735
2	3244789
0	639914
2	3654408
0	2491128
2	3568545
0	1311480
3	4744889
0	3638025
2	3474185
4	2172998
1	258243
2	3179276
-1	3562364
2	1536959
0	2851606
-1	4941570
2	2150042
2	4176460
4	2458390
0	3807924
3	3399089
1	1209767
0	2433633
0	1442585
2	1168500
2	2032406
1	1673564
3	3507760
2	4915994
0	3515811
-1	1547751
0	5407516
-1	519825
-1	2360111
-1	2374763
-1	2074203
2	230195
-1	4495120
0	721721
3	3165449
2	3441468
2	398461
-1	5384287
2	1246013
-1	4775727
0	2130759
0	3474248
2	556516
2	787276
0	744836
1	5018333
0	5047116
2	2094871
0	2261850
4	1062307
0	1344350
-1	421697
0	4719456
-1	4481535
2	5276514
0	1862678
4	850998
0	3638116
1	497571
0	754536
2	2170058
0	1704811
2	3769198
0	5335204
-1	1306913
2	3441518
0	1463614
-1	4744863
0	5079929
-1	2579051
2	3081087
2	2752292
1	3972796
0	852866
2	905838
2	1344390
-1	2059312
0	5485445
2	2327434
2	1624423
0	4519771
2	1934218
2	1650004
0	2819150
1	1508241
2	5121224
0	3752425
2	5374868
0	1611343
1	4588437
0	3094135
2	2639073
2	226275
0	2491284
-1	1420932
2	4293541
-1	4224559
-1	519058
2	2589609
1	3460299
-1	4967323
0	5079980
2	4146397
1	1541037
0	3392715
0	1830045
2	5276594
2	4368348
0	525236
-1	4436123
2	66485
1	1103251
3	1115063
-1	3651376
0	5311950
2	1573816
0	2061000
-1	2998429
0	820156
3	2339626
2	1442754
-1	399390
0	4884299
3	2163658
0	3380372
2	2495256
0	3693387
2	3834827
0	5072491
0	2753484
-1	1322649
2	787402
2	584129
1	4951612
1	459728
1	3383408
0	228228
0	77705
3	656345
0	1587905
2	4189915
0	5044249
0	2633530
3	164827
1	3365408
-1	5425696
0	833392
2	4544646
0	3900388
1	326273
2	3048424
0	2960558
2	401065
0	1868776
0	852970
1	3105157
0	984042
2	3818972
0	5012017
-1	3376114
0	617400
-1	473713
0	3337785
-1	3343412
-1	2209520
0	3572728
2	4635214
2	4129785
-1	3587715
4	2622461
4	2623964
-1	3725271
0	777894
1	4544368
0	99336
2	5497218
2	3703821
4	2243414
-1	3454644
2	4097046
0	4827996
-1	5402733
0	4785178
2	74048
2	4808496
0	5465686
2	3245085
0	3308789
2	4593929
0	5211170
3	2473493
0	2098211
-1	5154153
0	5440548
3	4205983
0	4031526
4	1358107
3	2327592
3	1032559
0	5062919
2	967708
0	4677340
0	4031530
-1	341368
0	5506092
1	3592620
0	4916270
-1	1566913
2	4785199
0	3110249
-1	2213101
2	230449
2	4060232
-1	4661695
2	1639473
0	4687242
2	4555828
2	4536882
0	5112885
2	314637
0	4981815
2	4420476
2	2851899
0	1164357
-1	4031547
-1	1329051
-1	3293467
4	4878494
0	4752445
2	525376
0	5430901
2	2807325
0	328770
0	1246279
2	1085519
0	5309518
2	3231436
2	33875
2	4157781
1	22893
2	2720856
2	3478380
0	2430641
2	4293720
2	3030825
2	1624155
0	5375064
2	3626895
0	3441765
-1	2878230
-1	3769446
-1	128302
1	4451174
-1	1719287
0	2290007
0	4337140
0	3277927
1	296037
4	3975063
0	2070483
2	5019134
2	33894
0	1176611
1	620194
1	689256
0	2756432
2	5020131
0	3245159
1	1458349
0	3441774
2	2131054
-1	3538188
0	4526739
2	3409009
1	2483469
2	294871
2	3212406
4	4420165
-1	4207689
0	4424822
1	638061
0	1229714
2	4418255
1	1495434
